number,country,first,last,participants,sports,gold,silver,bronze,total,first_winter,last_winter,participants_winter,sports_winter,gold_winter,silver_winter,bronze_winter,old_total_winter,athlete,still_in_use,2018_g,2018_s,2018_b,2018_t,g_w,s_w,b_w,new_total_winter,2018_participants,total_participants_w,now_compete_as,true_false_2018,new_last_winter
198, Sweden,1896,2016,"2,889",35,146,175,188,509,1924,2014,902,14,50,40,54,144,Alf Swahn and Sixten Jernberg (9 medals),Yes,7,6,1,14,57,46,55,158,116,1018,,TRUE,2018
199, Switzerland,1896,2016,"1,881",37,58,82,69,209,1924,2014,"1,007",15,50,40,48,138,Eugen Mack and Georges Miez (8 medals),Yes,5,6,4,15,55,46,52,153,166,1173,,TRUE,2018
200, Syria,1948,2016,132,13,1,1,1,3,0,0,0,0,0,0,0,0,3 athletes with 1 medal,Yes,,,,0,0,0,0,0,,0,,FALSE,0
201, Tajikistan,1996,2016,43,10,1,1,2,4,2002,2014,2,1,0,0,0,0,4 athletes with 1 medal,Yes,,,,0,0,0,0,0,,2,,FALSE,2014
202, Tanzania,1964,2016,110,5,0,2,0,2,0,0,0,0,0,0,0,0,Filbert Bayi and Suleiman Nyambui (1 medal),Yes,,,,0,0,0,0,0,,0,,FALSE,0
203, Thailand,1952,2016,459,21,9,8,13,30,2002,2014,3,2,0,0,0,0,Manut Boonjumnong and Pimsiri Sirikaew (2 medals),Yes,,,,0,0,0,0,0,4,7,,TRUE,2018
204, Timor Leste,2004,2016,7,2,0,0,0,0,2014,2014,1,1,0,0,0,0,No medalists,Yes,,,,0,0,0,0,0,1,2,,TRUE,2018
205, Togo,1972,2016,40,9,0,0,1,1,2014,2014,2,2,0,0,0,0,Benjamin Boukpeti (1 medal),Yes,,,,0,0,0,0,0,1,3,,TRUE,2018
206, Tonga,1984,2016,37,7,0,1,0,1,2014,2014,1,1,0,0,0,0,Paea Wolfgramm (1 medal),Yes,,,,0,0,0,0,0,1,2,,TRUE,2018
207, Trinidad and Tobago,1948,2016,163,13,2,6,11,19,1994,2002,4,1,0,0,0,0,Ato Boldon (4 medals),Yes,,,,0,0,0,0,0,,4,,FALSE,2002
208, Tunisia,1960,2016,416,22,3,3,7,13,0,0,0,0,0,0,0,0,Mohamad Gammoudi (4 medals),Yes,,,,0,0,0,0,0,,0,,FALSE,0
